# NS station codes
# based on
#  http://home.kpn.nl/judoschaak/treinen/afgiftepunten/afgiftepunten.html
#  http://home.planet.nl/~schif026/keuzenl.html
#  http://www.numdex.nl/NSstationnummers.html
#  http://wiki.ovinnederland.nl/
#  http://www.ns.nl/api
# and many direct observations
#
# Last update:
#  12-08-2013
#
# Confirmation needed:
#  250  Gendringen, can't find any info on this station besides the first url...
#
# Temporary stations (*NOT* included):
#  000    Deventer De Scheg     	6.213606	52.249176
#  406    Leeuwarden Achter de Hoven	5.81639 	53.19889
#  472    Nijverdal West        	6.449275        52.367085
#  608    Eijs-Wittem           	5.92479 	50.82317
#  712    Gulpen-Wijlre         	5.898056	50.833057
#
# Closed stations (included):
#  204    Emmen Bargeres
#  250    Gendringen
#  393    Leidschendam-Voorburg
#  488    Nijmegen Heyendaal
#  510    Pijnacker
#  522    Berkel en Rodenrijs
#  528    Rotterdam Bergweg
#  532    Rotterdam Hofplein
#  535    Rotterdam Kleiweg
#  536    Rotterdam Wilgenplas
#  660    Voorburg 't Loo
#  730    Zoetermeer Stadslijn
#  739    Zoetermeer Centrum West  
#
company	ovcid	name                    	lon     	lat
# station/Fe codes
4	 319	's-Hertogenbosch        	5.293611	51.690556
4	 320	's-Hertogenbosch Oost   	5.318333	51.700554
4	 322	Hilversum               	5.1819444	52.225834
4	 323	Hindeloopen             	5.423063	52.94649
4	 324	Hilversum Noord         	5.1738887	52.238056
4	 325	Hoek van Holland Haven  	4.128889	51.975277
4	 326	Hoensbroek              	5.9305553	50.905556
4	 327	Hollandsche Rading      	5.179167	52.177776
4	 328	Holten                  	6.4202776	52.28389
4	 329	Hillegom                	4.5655556	52.3025
4	 330	Hoogeveen               	6.473611	52.73389
4	 331	Hoogezand-Sappemeer     	6.770754	53.159817
4	 332	Hoofddorp               	4.7005553	52.293335
4	 334	Hoogkarspel             	5.183889	52.690556
4	 335	Houten Castellum        	5.179281	52.01724
4	 336	Hoorn Kersenboogerd     	5.0855556	52.65361
4	 337	Hoorn                   	5.0555553	52.644722
4	 338	Eygelshoven             	6.045   	50.890556
4	 339	Horst-Sevenum           	6.042222	51.426388
4	 340	Houten                  	5.1675  	52.035
4	 341	Houthem-St. Gerlach     	5.797222	50.873333
4	 342	Hoek van Holland Strand 	4.1197224	51.981667
4	 353	Kampen                  	5.9216666	52.559723
4	 354	Kapelle-Biezelinge      	3.9561112	51.480835
4	 355	Kerkrade Centrum        	6.0575  	50.861668
4	 359	Kesteren                	5.5833464	51.931385
4	 360	Kampen Zuid             	5.91309 	52.5331
4	 361	Klarenbeek              	6.083611	52.178055
4	 362	Klimmen-Ransdaal        	5.8905554	50.86639
4	 363	Koog Bloemwijk          	4.8055553	52.45861
4	 364	Koog-Zaandijk           	4.805   	52.469166
4	 366	Koudum-Molkwerum        	5.4106913	52.90282
4	 367	Krabbendijke            	4.1169443	51.433334
4	 368	Krommenie-Assendelft    	4.761243	52.49454
4	 369	Kropswolde              	6.7220883	53.161736
4	 370	Kruiningen-Yerseke      	4.0372224	51.465
4	 379	Den Haag Ypenburg       	4.3922224	52.05528
4	 380	Den Haag Laan van NOI   	4.3427777	52.07861
4	 382	Lage Zwaluwe            	4.6630554	51.691113
4	 384	Leiden Lammenschans     	4.4925  	52.146946
4	 386	Leerdam                 	5.0913887	51.894722
4	 387	Leeuwarden              	5.792222	53.195835
4	 388	't Harde                	5.893611	52.40917
4	 389	Leeuwarden Camminghaburen	5.8422966	53.20218
4	 390	Leiden Centraal         	4.4816666	52.16611
4	 393	Leidschendam-Voorburg   	4.382778	52.076944
4	 394	Lelystad Centrum        	5.472778	52.50778
4	 395	Lichtenvoorde-Groenlo   	6.59641 	52.01188
4	 398	Lisse                   	4.5301867	52.269524
4	 399	Lochem                  	6.4263887	52.166668
4	 400	Halfweg-Zwanenburg      	4.74579 	52.38616
4	 403	Loppersum               	6.7472625	53.334713
4	 404	Heerlen Woonboulevard   	5.9524655	50.89605
4	 405	Lunteren                	5.6244445	52.085278
